Date,BAJAJ,HERO
3/11/2016,2041.278564,2381.113037
3/14/2016,2033.116699,2383.609619
3/15/2016,1999.63501,2380.859131
3/16/2016,2018.972412,2368.375244
3/17/2016,2036.828857,2387.672119
3/18/2016,2066.844482,2396.050781
3/21/2016,2076.580078,2403.434082
3/22/2016,2073.529297,2456.574707
3/23/2016,2114.447021,2465.07373
3/28/2016,2115.300049,2444.985107
3/29/2016,2110.454102,2452.583252
3/30/2016,2173.715332,2510.058594
3/31/2016,2158.909424,2528.859619
4/1/2016,2171.382324,2533.452637
4/4/2016,2196.866455,2561.482666
4/5/2016,2148.949463,2543.968994
4/6/2016,2149.263428,2567.964111
4/7/2016,2134.233154,2548.003906
4/8/2016,2144.10376,2503.105225
4/11/2016,2183.94458,2555.343994
4/12/2016,2207.140625,2619.645508
4/13/2016,2317.331543,2702.575684
4/18/2016,2283.188721,2622.26416
4/20/2016,2272.734619,2609.043213
4/21/2016,2240.117188,2563.714111
4/22/2016,2263.178223,2572.943848
4/25/2016,2282.560303,2542.681885
4/26/2016,2286.463867,2516.969727
4/27/2016,2286.598633,2532.465576
4/28/2016,2232.086182,2489.326172
4/29/2016,2236.079346,2487.394531
5/2/2016,2223.516602,2493.361084
5/3/2016,2209.967285,2477.135742
5/4/2016,2207.678955,2484.862305
5/5/2016,2201.397949,2484.260742
5/6/2016,2185.156006,2481.299561
5/9/2016,2267.664795,2527.100098
5/10/2016,2270.26709,2539.247314
5/11/2016,2258.781494,2542.466797
5/12/2016,2287.316162,2533.409912
5/13/2016,2259.185303,2500.443848
5/16/2016,2254.1604,2490.141846
5/17/2016,2249.180176,2517.484619
5/18/2016,2208.935547,2471.126221
5/19/2016,2185.380371,2482.157959
5/20/2016,2201.128418,2486.793457
5/23/2016,2173.13208,2478.938232
5/24/2016,2135.085693,2489.111572
5/25/2016,2221.138672,2513.020752
5/26/2016,2247.923584,2543.024902
5/27/2016,2300.46167,2577.622314
5/30/2016,2339.450439,2659.178955
5/31/2016,2349.500732,2660.380615
6/1/2016,2336.44458,2651.967773
6/2/2016,2328.503418,2699.355957
6/3/2016,2368.209473,2700.987305
6/6/2016,2359.954346,2672.700195
6/7/2016,2369.600586,2686.822021
6/8/2016,2362.063232,2721.505615
6/9/2016,2326.17041,2649.907227
6/10/2016,2315.043213,2635.140869
6/13/2016,2318.453369,2606.767822
6/14/2016,2297.814697,2580.455322
6/15/2016,2336.220459,2630.419189
